feature,mean_abs_correlation,max_abs_correlation
weight_x_head,0.1540630667242403,0.9521164147667606
small_x_head,0.15469440280245683,0.9521164147667606
sad_x_fearful,0.2020209376554085,0.9519934826595544
vision_x_high,0.19492085767773676,0.9518762185141691
vision_x_biomotion,0.18822068959478053,0.9517484311472781
pain_x_surprised,0.2108199334268577,0.9516937872984503
harm_x_fearful,0.2204705297439155,0.9516824636739182
small_x_loud,0.160344416954956,0.9516289526077913
surprised_x_attention,0.21764955236745862,0.9515359680182166
surprised_sq,0.18837692694034072,0.9514413140960623
texture_x_number,0.15287424853569645,0.9512632412584661
touch_x_number,0.13338680464174457,0.9512632412584661
vision_x_motion,0.24546545632831185,0.9512591605238679
weight_x_smell,0.17646984752947534,0.9509796290335646
shape_x_loud,0.21871266393174754,0.9509084884362273
vision_x_low,0.2066671126253345,0.9507011808001763
unpleasant_x_angry,0.19626478843965434,0.9506787263263728
angry_x_disgusted,0.17931989143933447,0.9506787263263728
fast_x_complexity,0.22577626004292028,0.9506178876914914
vision_x_fast,0.22888976924374152,0.9506178876914914
shape_x_face,0.16133580033177006,0.9505437536769296
shape_x_speech,0.16576967955876246,0.9505437536769296
taste_x_upperlimb,0.1589113443789793,0.9505323739277385
face_x_weight,0.16615462395257416,0.9501402811788455
disgusted_x_fearful,0.18992634802685457,0.950039676419344
angry_x_fearful,0.20713230035344984,0.950039676419344
sound_x_toward,0.21758672567117648,0.949273586034075
biomotion_x_caused,0.20407784816040672,0.9491690396316417
body_x_caused,0.185596502849161,0.9491690396316417
face_x_scene,0.1454672539331148,0.9490282311524877
speech_x_scene,0.15866947147604374,0.9490282311524877
vision_x_near,0.18644970405395705,0.9489292598148265
shape_x_near,0.18604801988462785,0.9489292598148265
complexity_x_high,0.19674558607002834,0.948874310086382
consequential_x_harm,0.2199841700612449,0.9488472260981783
complexity_x_low,0.20887057820921073,0.9488302629178761
body_x_practice,0.15815833781242122,0.9487953008874318
biomotion_x_practice,0.16161679005172028,0.9487953008874318
harm,0.21525687370781316,0.9487591915597033
harm_sq,0.2129372520593477,0.9487591915597033
body_x_audition,0.18140043156938865,0.9487133924882653
sound_x_short,0.17889920464500927,0.9485641729379258
audition_x_short,0.18902920259942377,0.9485641729379258
vision_x_fearful,0.22532050761169817,0.9485135025453946
complexity_x_fearful,0.22746939989084952,0.9485135025453946
sound_x_lowerlimb,0.17410181189435278,0.9484233057969422
audition_x_lowerlimb,0.18431293169160626,0.9484233057969422
body_x_arousal,0.20192870772341934,0.9484158390090395
body_x_attention,0.194651531434552,0.9484158390090395
practice_x_near,0.18049640424946828,0.9483523529335995
near,0.18442787548816636,0.9483523529335995
needs,0.14744870340765057,0.9483343457467379
needs_sq,0.12829283675183129,0.9483343457467379
toward_sq,0.14163418358128305,0.9481513868803711
toward,0.16791896691992586,0.9481513868803711
caused_x_angry,0.2091730717166965,0.948039931598731
near_sq,0.1626615555631125,0.9477903186749823
pain_x_fearful,0.20892102307919067,0.947744197611824
path_sq,0.1586372460707111,0.9477088516333317
path,0.18667599366243282,0.9477088516333317
pattern_x_loud,0.2230952985650286,0.9477012459681443
pattern_sq,0.20409395514230194,0.9476033712254206
color_x_landmark,0.13231769840516328,0.9474771831936784
pattern_x_landmark,0.1272834710504268,0.9474771831936784
bright_x_time,0.10718650912985561,0.9473573785167929
bright_x_duration,0.12291403477271741,0.9473573785167929
touch_x_loud,0.19106096570841455,0.9472944911366747
biomotion_x_sad,0.18717172373369723,0.9469006267652526
body_x_sad,0.16646732603747752,0.9469006267652526
pattern_x_shape,0.2305674453738923,0.94660726510355
human_x_unpleasant,0.2092475774085744,0.9465981212819489
human_x_angry,0.20512209566300935,0.9465981212819489
motion_x_fearful,0.2305671396155132,0.9464328265905247
fast_x_fearful,0.21882463526681617,0.9464328265905247
complexity_x_audition,0.23691911711935584,0.9463661281897428
complexity_x_loud,0.23684479897744326,0.9463661281897428
weight_x_speech,0.1712191667205729,0.9461183457088294
communication,0.17554089931645936,0.9460411775205326
communication_sq,0.14442422375685435,0.9460411775205326
sad_x_angry,0.19010800534497377,0.9458647823424884
sad_x_disgusted,0.1785328033600805,0.9455176392055464
social_x_unpleasant,0.20176425758704036,0.9454726263933593
social_x_angry,0.1930173430889071,0.9454726263933593
caused_x_harm,0.21650788336658428,0.9454172096106175
high_x_music,0.14281770911054337,0.9453684489561764
face_x_surprised,0.18405419808637963,0.9451246840247165
speech_x_surprised,0.20087820842608042,0.9451246840247165
