,Property,Thing,Action,max_abs_coefficient
body_x_lowerlimb,0.009383486800015,0.0218395034003015,-0.0729289366063478,0.0729289366063478
landmark_x_cognition,-0.0718784342060322,0.0,0.0260445037785792,0.0718784342060322
path_x_social,0.0,-0.0057529325207087,0.0711258219407983,0.0711258219407983
practice_sq,-0.0144172840282887,-0.004176193739621,0.0710952175374442,0.0710952175374442
slow_x_practice,0.0,-0.0230711278122114,0.0697375925902265,0.0697375925902265
motion_x_body,-0.0108362949179138,0.0693939968147764,-0.0054756920865605,0.0693939968147764
self_x_arousal,0.0677798202488106,-0.0419326445359251,0.0,0.0677798202488106
practice_x_communication,-0.037692291872978,0.0673529548868867,0.0,0.0673529548868867
toward_x_human,0.034137923670584,-0.0668432548768322,0.0,0.0668432548768322
practice_x_arousal,0.0476762381863983,-0.0647713325548847,0.0,0.0647713325548847
upperlimb_x_caused,0.0,0.0640320386366468,-0.0286124235564668,0.0640320386366468
texture_x_human,0.0,-0.0631216450321044,0.0559343006067134,0.0631216450321044
body_x_self,0.0,0.0629633051915162,-0.0260827757533853,0.0629633051915162
body_x_caused,0.0623919166888172,-0.0441792729410045,0.0,0.0623919166888172
landmark_x_path,0.0,-0.0381893016555223,0.0612917836390347,0.0612917836390347
practice_x_surprised,-0.0516733059013041,0.0605469558073617,0.0,0.0605469558073617
slow_x_cognition,0.0559236002095956,-0.0591978474910833,0.0,0.0591978474910833
human_x_arousal,0.0,-0.0587059038621461,0.0286872040477048,0.0587059038621461
consequential_x_human,-0.0584240338787951,0.0,0.0215985236898552,0.0584240338787951
away_x_human,0.0,0.0,0.0581923376672301,0.0581923376672301
landmark_x_human,-0.0066968102407941,-0.0098263567741926,0.0579489824804656,0.0579489824804656
texture_x_weight,-0.0561310389530825,0.0082285242708653,0.0,0.0561310389530825
scene_x_short,-0.0038519535201789,0.0555942296038305,0.0,0.0555942296038305
duration_x_self,0.0,-0.0062912759862794,0.0538871377666774,0.0538871377666774
human_x_attention,0.0,-0.05359756879738,0.0212564584809159,0.05359756879738
path_sq,0.0,-0.052833549317103,0.0292219393524889,0.052833549317103
path_x_caused,-0.0131876285928887,0.0,0.0527828286724635,0.0527828286724635
slow_x_benefit,-0.0521287997058177,0.0,0.0015932604391122,0.0521287997058177
lowerlimb_x_short,0.0,-0.0501643721203246,0.0144873225281216,0.0501643721203246
path_x_toward,0.0,-0.0500681691001677,0.0054729337338313,0.0500681691001677
touch_x_self,0.0187562097514688,-0.0489682732152484,0.0,0.0489682732152484
head_x_path,-0.0481181964725163,0.045596344110492,0.0004249146415752,0.0481181964725163
body_x_pleasant,0.0,0.0400547704717092,-0.0472917217030843,0.0472917217030843
slow_x_self,0.0,-0.0400298179057084,0.0472619306746365,0.0472619306746365
color_x_complexity,0.0470138889376346,0.0,-0.0181407141688904,0.0470138889376346
biomotion_x_cognition,0.046940342483659,0.0,-0.020840241135572,0.046940342483659
toward_x_duration,0.0457067259775853,-0.0269479804703332,0.0,0.0457067259775853
fast_x_communication,-0.0456007320064991,0.0145676512706156,0.0,0.0456007320064991
human_x_benefit,0.0097977401086209,0.0006850819473377,-0.0439401960027672,0.0439401960027672
landmark_x_short,-0.0163140906991552,0.0,0.0437269308415025,0.0437269308415025
color,0.0434315949808745,-0.0329283374090645,0.0,0.0434315949808745
caused_x_human,-0.0433570245373841,0.0,0.0369584097822276,0.0433570245373841
practice_x_angry,-0.0430264109746014,-0.000179660013515,0.0186124788130587,0.0430264109746014
away_x_drive,-0.0429985725854239,0.0,0.0,0.0429985725854239
body_x_path,0.0,-0.0422286103021146,0.0195739142578079,0.0422286103021146
texture_sq,-0.0416168170568397,0.004096139516406,0.0,0.0416168170568397
self_sq,0.0,0.0,0.0411932028257479,0.0411932028257479
near_x_short,-0.002321739434618,0.0,0.0410904948390766,0.0410904948390766
biomotion_x_self,0.0,0.0389811039994994,-0.0185855182800606,0.0389811039994994
body,0.0382134957668807,0.0,-0.0049137380864791,0.0382134957668807
path_x_arousal,0.0,-0.0354855978531954,0.0316156609511429,0.0354855978531954
short_x_needs,-0.0354063988336365,0.0226568536391686,0.0,0.0354063988336365
duration_x_short,0.0348078035505297,0.0,-0.0155637956475306,0.0348078035505297
toward_x_consequential,0.0121379293847123,-0.0346555336834353,0.0,0.0346555336834353
long_x_human,-0.0345901252295372,0.0082112032056647,0.0,0.0345901252295372
slow_x_consequential,-0.0111336924321659,-0.0342909926523793,0.0135346202968887,0.0342909926523793
