feature_1,feature_2,correlation,abs_correlation
biomotion,scene,0.07017287579690837,0.07017287579690837
short,happy,0.07003607686744949,0.07003607686744949
scene,toward,-0.06975070258857313,0.06975070258857313
scene,happy,0.06957005707644699,0.06957005707644699
time,needs,0.06943700253353285,0.06943700253353285
slow,fearful,-0.06926507893007615,0.06926507893007615
motion,self,-0.06905578798970297,0.06905578798970297
low,lowerlimb,0.06879257821680887,0.06879257821680887
biomotion,short,-0.06875518289989428,0.06875518289989428
loud,consequential,0.06875446029382262,0.06875446029382262
away,duration,0.06863926574076956,0.06863926574076956
number,consequential,-0.06844825362929524,0.06844825362929524
face,needs,0.06843192211183129,0.06843192211183129
low,toward,0.06825306169495536,0.06825306169495536
path,sad,-0.06799730845991514,0.06799730845991514
landmark,social,0.0677545218566697,0.0677545218566697
speech,duration,-0.06775446133541599,0.06775446133541599
slow,taste,-0.06771762523752133,0.06771762523752133
low,smell,-0.06764386614361381,0.06764386614361381
temperature,number,-0.06763677408540059,0.06763677408540059
temperature,attention,-0.06751736370990231,0.06751736370990231
slow,needs,0.06750732802731901,0.06750732802731901
pain,communication,-0.06728984265988144,0.06728984265988144
head,arousal,0.06718774692197113,0.06718774692197113
loud,caused,0.06712112025316509,0.06712112025316509
temperature,head,0.06690536377578507,0.06690536377578507
time,disgusted,-0.06672556967039986,0.06672556967039986
dark,biomotion,-0.0667118682041862,0.0667118682041862
taste,scene,-0.06643198776446117,0.06643198776446117
biomotion,needs,0.06618458003659027,0.06618458003659027
temperature,short,-0.06611977368369375,0.06611977368369375
head,self,0.0658452937273826,0.0658452937273826
sound,communication,0.06539584103926531,0.06539584103926531
toward,arousal,-0.06508595302146968,0.06508595302146968
complexity,near,0.06496596359627033,0.06496596359627033
fast,consequential,0.0649268564176852,0.0649268564176852
temperature,high,0.06477337526072365,0.06477337526072365
face,near,-0.06460659651913862,0.06460659651913862
body,fearful,0.06444030826719455,0.06444030826719455
fast,smell,-0.06440693889793679,0.06440693889793679
sound,disgusted,-0.0640399546370022,0.0640399546370022
large,social,-0.06392200514244722,0.06392200514244722
toward,duration,-0.06388003328100839,0.06388003328100839
near,human,-0.06371472104334844,0.06371472104334844
touch,self,-0.06345933184705581,0.06345933184705581
large,upperlimb,-0.06344196170100772,0.06344196170100772
high,drive,-0.06341475301708609,0.06341475301708609
shape,benefit,-0.06332547069416834,0.06332547069416834
large,face,-0.06330965903703131,0.06330965903703131
dark,upperlimb,-0.06321002128968607,0.06321002128968607
touch,audition,-0.06232221693645696,0.06232221693645696
motion,number,-0.06229963790754097,0.06229963790754097
large,practice,-0.0622811571374076,0.0622811571374076
landmark,arousal,-0.06213195914175206,0.06213195914175206
high,happy,0.06148611760466734,0.06148611760466734
body,number,0.06144615212074282,0.06144615212074282
lowerlimb,surprised,-0.06126356822667363,0.06126356822667363
loud,smell,-0.06123885002992971,0.06123885002992971
pattern,loud,0.06108437443822623,0.06108437443822623
motion,near,0.060993193228342256,0.060993193228342256
low,human,-0.06090420490214174,0.06090420490214174
temperature,music,0.060837439918310955,0.060837439918310955
slow,duration,0.06057648375803237,0.06057648375803237
low,communication,0.06034597916545356,0.06034597916545356
dark,loud,0.06032824281583747,0.06032824281583747
texture,benefit,-0.060277136949686526,0.060277136949686526
lowerlimb,arousal,0.06026425866227709,0.06026425866227709
dark,motion,0.06024229630570584,0.06024229630570584
color,low,0.059685367486085224,0.059685367486085224
dark,pain,0.05930036884481772,0.05930036884481772
body,caused,-0.05913776388805716,0.05913776388805716
human,needs,0.05904032572607662,0.05904032572607662
color,upperlimb,0.05888896224103144,0.05888896224103144
texture,loud,0.05879215040575204,0.05879215040575204
head,near,0.05876959369109394,0.05876959369109394
motion,needs,-0.058381037961403356,0.058381037961403356
shape,happy,-0.058219023946318456,0.058219023946318456
temperature,audition,0.058153816585762595,0.058153816585762595
