model,class_raw,class_display,fold,C,l1_ratio,macro_f1_cv
Elastic Net,adjective,Property,3,2.1544346900318843,0.9,0.8690467427309532
Elastic Net,adjective,Property,3,7.742636826811277,0.1,0.9087964666912035
Elastic Net,adjective,Property,3,7.742636826811277,0.3,0.9087964666912035
Elastic Net,adjective,Property,3,7.742636826811277,0.5,0.9087964666912035
Elastic Net,adjective,Property,3,7.742636826811277,0.7,0.9087964666912035
Elastic Net,adjective,Property,3,7.742636826811277,0.9,0.9087964666912035
Elastic Net,adjective,Property,3,27.825594022071257,0.1,0.9087964666912035
Elastic Net,adjective,Property,3,27.825594022071257,0.3,0.9087964666912035
Elastic Net,adjective,Property,3,27.825594022071257,0.5,0.9087964666912035
Elastic Net,adjective,Property,3,27.825594022071257,0.7,0.9087964666912035
Elastic Net,adjective,Property,3,27.825594022071257,0.9,0.9087964666912035
Elastic Net,adjective,Property,3,100.0,0.1,0.9087964666912035
Elastic Net,adjective,Property,3,100.0,0.3,0.9087964666912035
Elastic Net,adjective,Property,3,100.0,0.5,0.9087964666912035
Elastic Net,adjective,Property,3,100.0,0.7,0.9087964666912035
Elastic Net,adjective,Property,3,100.0,0.9,0.9087964666912035
Elastic Net,adjective,Property,4,0.001,0.1,0.2987012987012987
Elastic Net,adjective,Property,4,0.001,0.3,0.2987012987012987
Elastic Net,adjective,Property,4,0.001,0.5,0.2987012987012987
Elastic Net,adjective,Property,4,0.001,0.7,0.2987012987012987
Elastic Net,adjective,Property,4,0.001,0.9,0.2987012987012987
Elastic Net,adjective,Property,4,0.003593813663804626,0.1,0.2987012987012987
Elastic Net,adjective,Property,4,0.003593813663804626,0.3,0.2987012987012987
Elastic Net,adjective,Property,4,0.003593813663804626,0.5,0.2987012987012987
Elastic Net,adjective,Property,4,0.003593813663804626,0.7,0.2987012987012987
Elastic Net,adjective,Property,4,0.003593813663804626,0.9,0.2987012987012987
Elastic Net,adjective,Property,4,0.01291549665014884,0.1,0.49714285714285716
Elastic Net,adjective,Property,4,0.01291549665014884,0.3,0.2987012987012987
Elastic Net,adjective,Property,4,0.01291549665014884,0.5,0.2987012987012987
Elastic Net,adjective,Property,4,0.01291549665014884,0.7,0.2987012987012987
Elastic Net,adjective,Property,4,0.01291549665014884,0.9,0.2987012987012987
Elastic Net,adjective,Property,4,0.046415888336127795,0.1,0.8401968401968402
Elastic Net,adjective,Property,4,0.046415888336127795,0.3,0.6113647894469812
Elastic Net,adjective,Property,4,0.046415888336127795,0.5,0.5608108108108109
Elastic Net,adjective,Property,4,0.046415888336127795,0.7,0.5608108108108109
Elastic Net,adjective,Property,4,0.046415888336127795,0.9,0.5608108108108109
Elastic Net,adjective,Property,4,0.1668100537200059,0.1,0.883556057469101
Elastic Net,adjective,Property,4,0.1668100537200059,0.3,0.8817966903073285
Elastic Net,adjective,Property,4,0.1668100537200059,0.5,0.8619553578782636
Elastic Net,adjective,Property,4,0.1668100537200059,0.7,0.8619553578782636
Elastic Net,adjective,Property,4,0.1668100537200059,0.9,0.8619553578782636
