feature,mutual_information
long_x_human,0.12078999137745283
motion_x_practice,0.12057120666138377
short_x_consequential,0.12036973096896153
fast_x_complexity,0.11935057857745512
body_x_cognition,0.11905625207406723
motion_x_scene,0.11864102363385531
small_x_drive,0.11847360747988556
landmark_x_self,0.11826255939708274
texture,0.11816599328703492
vision_x_number,0.1181479101931131
small_x_biomotion,0.11777480636873183
path_x_arousal,0.11754703939721312
practice_x_sad,0.1174349755957329
practice_x_duration,0.11720982746124986
vision_x_color,0.1172096410860024
body_x_drive,0.11698592355379511
large_x_short,0.11683107378605517
near_x_caused,0.11651518710538511
upperlimb_x_path,0.11624122343308274
path_x_duration,0.11612895889761488
landmark_x_duration,0.11601723976727851
fast_x_cognition,0.11593070940940464
practice_x_attention,0.11553270362250578
path_x_drive,0.11539990384073295
face_x_touch,0.11533666287734912
benefit_x_drive,0.11531957384888591
scene_x_short,0.11526260909096653
motion_x_landmark,0.11492988860378728
toward_x_consequential,0.11488602644411605
color_x_practice,0.11479683761978077
face_x_short,0.11461999804364797
motion_x_slow,0.11444403294269989
texture_x_weight,0.114302769314095
upperlimb_x_human,0.1141086677845582
practice_x_path,0.11407602883390733
slow_x_communication,0.1140737179175042
small_sq,0.11399974035832039
texture_x_human,0.11298086722029388
biomotion_x_away,0.11282315129536435
body_x_audition,0.11278557654390164
complexity_x_attention,0.1122610661915695
fast_x_human,0.11182815776128519
fast_x_practice,0.11172359310714897
away_x_human,0.11164188595375535
motion_x_complexity,0.11140983734444032
complexity_x_path,0.11131808884720984
practice_x_away,0.11093581921423756
near_x_long,0.11089842639902003
small_x_practice,0.11045626433417333
practice_x_fearful,0.11038165557106283
texture_sq,0.11024996910874663
body_x_benefit,0.109860559002956
slow_x_attention,0.1097925418469925
near_x_self,0.1097472119119367
color_x_large,0.10971514499757418
small_x_consequential,0.10944883822684259
bright_x_small,0.10921554003240486
small_x_human,0.10859082467285064
shape_x_number,0.10851154284563935
landmark_x_path,0.10845387579614596
face_x_needs,0.10783849430766357
fast_x_self,0.1078358335029741
landmark_x_toward,0.107830944748462
texture_x_practice,0.10779919094217338
landmark_x_social,0.10762427599584123
path,0.10715155097016438
bright_x_near,0.10705925053512799
small_x_complexity,0.10673350524083514
human_x_benefit,0.10672291576395843
practice_x_angry,0.10658030566062959
human_x_surprised,0.10633890941536661
body_x_attention,0.1062300881253031
face_x_upperlimb,0.10613773301104956
shape_x_sound,0.10590376635229282
shape_x_touch,0.10553830636638128
slow_x_practice,0.10549479650284521
long_x_consequential,0.10548915668403569
touch_x_short,0.10542816479083417
path_sq,0.1053545513463281
fast_x_landmark,0.10529535142974833
bright_x_weight,0.10529420861783745
body_x_landmark,0.10523242968792323
caused_x_human,0.10520490799372761
consequential_x_human,0.10510023102423283
biomotion_x_landmark,0.10508219999232482
vision_x_speech,0.10491599634892923
motion_x_consequential,0.10489801704732238
lowerlimb_x_path,0.10488700884582802
path_x_caused,0.10466163564479625
large_x_texture,0.10429938170032726
practice_x_long,0.10415692181316016
pattern_x_weight,0.10384021166071311
small,0.10381187870979325
body_x_scene,0.10348064300443638
practice_x_surprised,0.10317670869712403
path_x_social,0.10311940127242614
face_x_self,0.10288826698442621
complexity_x_speech,0.10281491134406462
color_x_happy,0.1027725853215744
speech_sq,0.10252697022685608
body_x_away,0.10247309307722197
biomotion_x_communication,0.10239972374110384
self_x_needs,0.10235303395070261
lowerlimb_x_short,0.10235063631422614
weight_x_human,0.10225277599905613
short_x_arousal,0.10204071171448525
biomotion_x_harm,0.10202772698870555
biomotion_x_drive,0.10192247936084042
small_x_near,0.1017052512924288
complexity_x_near,0.10132141901781688
small_x_short,0.10119543806327225
practice_x_near,0.10090727871926441
shape_x_benefit,0.10081193350093964
touch_x_cognition,0.10074840920069228
slow_x_social,0.10058372860029774
face_x_weight,0.10050517537667703
time_x_human,0.1004699930044386
human_x_arousal,0.10030130052468356
slow_x_path,0.1002952840559097
shape_x_pleasant,0.10022936376643399
slow_x_away,0.09999304206493864
near_x_attention,0.0998781281529193
path_x_toward,0.09977049069264066
speech,0.09958328747659562
biomotion_x_time,0.09948552218458984
self,0.09945123511349285
pattern_x_touch,0.09917602472994091
speech_x_human,0.09911823672820996
touch_x_texture,0.09908550193279897
bright_x_shape,0.09904340325897953
audition_x_human,0.09900757594512566
motion_x_short,0.0989439406540511
face_x_texture,0.0988015859513256
face_x_duration,0.09868238562243548
pattern_x_shape,0.09862949384793684
duration_x_consequential,0.09832139166109943
small_x_benefit,0.0983050893942512
speech_x_upperlimb,0.09818152484537435
vision_x_sound,0.09810498182588923
slow_x_cognition,0.09806799083931139
pattern_x_upperlimb,0.0980294251479068
duration_x_drive,0.09796058190192936
vision_x_self,0.09787106077878183
complexity_x_audition,0.0978580533302682
pattern_x_human,0.09773780880496474
short_x_pleasant,0.09769859768667843
biomotion_x_attention,0.09767695319942105
away_x_self,0.09764861182521223
biomotion_x_slow,0.09762469563074938
motion_x_speech,0.09737342138795513
face_x_cognition,0.0971873525472069
small_x_duration,0.09714851260771074
communication_x_self,0.09707222648011671
weight_x_happy,0.09698290814708121
body_x_head,0.0967489566555777
biomotion_x_upperlimb,0.0967320179035338
touch_x_drive,0.09670086336117811
landmark_x_away,0.09658383711416807
large_x_complexity,0.09652914963547099
biomotion_x_benefit,0.09626629110390028
upperlimb_x_long,0.09602615868923947
texture_x_speech,0.09600378168904511
path_x_long,0.09536120234863343
slow_x_drive,0.09517510117750327
practice_x_benefit,0.09491980424039825
path_x_surprised,0.09490668224287058
color_x_caused,0.09482748660126217
texture_x_upperlimb,0.09470823017620056
slow_x_near,0.09462856466883407
shape_x_face,0.09461031666426978
complexity_x_sound,0.09446360869813186
landmark_x_near,0.09432047446749237
toward_x_benefit,0.09429470334497636
shape_x_happy,0.09424811281769618
practice_x_number,0.09410436922300791
practice_x_landmark,0.0940007176424309
practice_x_toward,0.09398655796006761
body_x_number,0.09387755618611826
fast_x_path,0.0938431684878418
pattern_x_benefit,0.0937630919013086
landmark_x_arousal,0.09371786015175965
time_x_self,0.09368308826388172
color_x_path,0.09349989159247718
near_sq,0.09349958507036482
pattern_x_face,0.0933042299150757
pattern_x_complexity,0.09318307707092566
human_x_communication,0.09313622915392439
human_x_attention,0.09310969615306885
