feature,anova_f,anova_pvalue,mutual_information,max_abs_class_mean_contrast,rank_anova,rank_mi,rank_class_contrast,combined_rank
short_sq,26.73346348757733,1.159081307083752e-11,0.1557294125088191,0.8765927455269157,181.0,55.0,186.0,140.66666666666666
short_x_drive,34.559630946056174,1.2399196266855718e-14,0.12304437529632639,0.9148629839225852,122.0,136.0,164.0,140.66666666666666
caused_x_human,37.60421855697353,9.18454018254208e-16,0.10520490799372761,1.0616214825516261,103.0,226.0,97.0,142.0
body_x_caused,26.655293265911762,1.2424360972086683e-11,0.1431354628262953,0.910997420528885,182.0,81.0,167.0,143.33333333333334
practice_x_away,34.64621375516859,1.150950734744927e-14,0.11093581921423756,1.0146125144762859,121.0,190.0,119.0,143.33333333333334
practice_x_fearful,41.9969967005154,2.2709520337797725e-17,0.11038165557106283,0.9483431626896544,90.0,193.0,148.0,143.66666666666666
near_x_drive,31.611896243440167,1.5889963299419693e-13,0.1272900996200539,0.8941504422043759,142.0,116.0,177.0,145.0
motion_x_practice,30.80814912532017,3.202464820220582e-13,0.12057120666138377,0.9494479380238836,148.0,145.0,146.0,146.33333333333334
slow_x_drive,52.502225207393316,4.2000108193654106e-21,0.09517510117750327,1.1928779477002724,65.0,307.0,69.0,147.0
vision_x_shape,32.57656205654553,6.872985599684991e-14,0.13397484075094757,0.829771841318534,135.0,102.0,209.0,148.66666666666666
landmark_x_path,34.416145187473774,1.4028373199490581e-14,0.10845387579614596,1.0112227937153504,124.0,203.0,120.0,149.0
face_x_short,31.60187305851376,1.6029215996247408e-13,0.11461999804364797,0.9886317057388581,143.0,174.0,130.0,149.0
time_x_human,38.07145851267112,6.177437549715547e-16,0.1004699930044386,1.0712470292682605,101.0,260.0,93.0,151.33333333333334
slow_x_cognition,43.96985228802612,4.401038844509817e-18,0.09806799083931139,1.0982463685198651,87.0,283.0,87.0,152.33333333333334
time_x_self,50.394477810594566,2.291988961086771e-20,0.09368308826388172,1.2031878476355282,70.0,325.0,64.0,153.0
speech_x_practice,31.55652337411143,1.6674745948616132e-13,0.12131280065419237,0.8955614608138224,144.0,142.0,176.0,154.0
self_sq,50.34852893166697,2.3787238012025285e-20,0.09270585881388427,1.2025733526043216,71.0,336.0,66.0,157.66666666666666
biomotion_x_time,36.03161948653106,3.508916041043433e-15,0.09948552218458984,1.0424581830122102,111.0,268.0,101.0,160.0
touch_x_cognition,35.05750701579402,8.083551113509696e-15,0.10074840920069228,1.0322082026923751,118.0,257.0,106.0,160.33333333333334
upperlimb_x_self,62.66970617274399,1.4081268747194879e-24,0.08826508669595046,1.303611855534038,49.0,387.0,50.0,162.0
slow_x_path,35.96458909834378,3.715923951671977e-15,0.1002952840559097,1.02208536739107,112.0,262.0,113.0,162.33333333333334
toward_x_self,64.67787261981276,3.0031716686369435e-25,0.08632734769152317,1.326254173523896,47.0,405.0,47.0,166.33333333333334
lowerlimb_x_path,31.846744605296163,1.2953290857950427e-13,0.10488700884582802,0.9829323900624355,137.0,231.0,132.0,166.66666666666666
biomotion_x_near,24.399110005703633,9.312040655364793e-11,0.1352910037094499,0.8488764565678111,206.0,99.0,200.0,168.33333333333334
fast_x_short,24.514836619642644,8.394074995440882e-11,0.12849957879674068,0.8508808749363128,204.0,113.0,198.0,171.66666666666666
complexity_x_practice,17.790492976976644,3.802958142179378e-08,0.36368440979906946,0.7619307238661027,277.0,4.0,239.0,173.33333333333334
body_x_arousal,20.348043418976093,3.6378731206760553e-09,0.1518964324237535,0.8084938707732269,241.0,60.0,220.0,173.66666666666666
away_x_drive,44.226505539940355,3.558343003447064e-18,0.09185901081644277,1.0758614714241712,85.0,347.0,92.0,174.66666666666666
biomotion_x_arousal,21.159520324335734,1.736936280054925e-09,0.14624997625041658,0.8017465199719935,235.0,68.0,222.0,175.0
human_x_arousal,31.836900280360236,1.3064665828920316e-13,0.10030130052468356,0.9920278647543392,138.0,261.0,126.0,175.0
small_x_human,28.35526533812791,2.7579905428244872e-12,0.10859082467285064,0.9102155220523513,159.0,201.0,168.0,176.0
path_x_toward,32.971610469648255,4.8809378577349204e-14,0.09977049069264066,0.9783170643547906,130.0,266.0,135.0,177.0
long_x_short,24.124580708342577,1.191389741438298e-10,0.1479471161841206,0.7435481374133696,209.0,66.0,260.0,178.33333333333334
body_x_cognition,24.112335328648,1.204564013546811e-10,0.11905625207406723,0.8757182339595886,210.0,148.0,187.0,181.66666666666666
landmark_x_toward,28.02367932372853,3.6960074351037865e-12,0.107830944748462,0.8925802604275433,164.0,206.0,178.0,182.66666666666666
shape_x_scene,26.89374238936461,1.0053211705085966e-11,0.14484054002977276,0.7010739316982931,178.0,73.0,307.0,186.0
slow_x_social,29.915285342791222,6.994770119913155e-13,0.10058372860029774,0.9492651379456131,155.0,258.0,147.0,186.66666666666666
slow_x_caused,47.19381774779055,3.095146615143522e-19,0.08524576975740716,1.171265846171992,77.0,418.0,73.0,189.33333333333334
shape_x_texture,24.489461244810684,8.587245964321738e-11,0.15845807904972542,0.6976050879291547,205.0,51.0,312.0,189.33333333333334
