feature,max_abs_class_mean_contrast
bright,0.5399277339137527
near_x_toward,0.5399224444577431
away_x_attention,0.5396480283965525
motion_x_away,0.5386785379910541
sound_x_scene,0.5385510061616569
fast_x_touch,0.5378449119722589
touch_x_upperlimb,0.5376495989511769
low_x_self,0.5375895690955431
weight_x_consequential,0.537538530613299
weight_x_attention,0.5372421062782515
color_sq,0.5372289522616555
pattern_x_short,0.5371129373652568
small_x_body,0.5370799580012088
large_x_near,0.5365951526469414
benefit_x_pleasant,0.5357880859855855
benefit_x_needs,0.5356220297779204
drive_x_attention,0.534480162886833
head,0.5338429715550377
texture_x_path,0.5329861982325351
audition_x_scene,0.5319648404037342
large_x_scene,0.531953489473075
vision_x_touch,0.5317842920769352
motion_x_lowerlimb,0.5312719170043377
duration,0.5311905843283954
caused_x_drive,0.5310467484921725
pattern_x_temperature,0.5306744150056824
upperlimb_x_unpleasant,0.530298207274052
touch_x_pleasant,0.5300523654598001
large_x_texture,0.5296160897867617
motion_x_biomotion,0.5294291423450128
slow_x_angry,0.5293669006568417
lowerlimb_x_angry,0.5292312211369818
pattern_x_away,0.5291113697874792
motion_x_duration,0.528620267041299
small_x_temperature,0.5283254241460874
body_x_attention,0.5277693044688943
consequential_x_pleasant,0.5274031584080943
body_x_benefit,0.5271982666211795
scene,0.5270390618227249
color_x_temperature,0.5269500010607919
weight_sq,0.5269376860098501
color_x_touch,0.5267465457477813
complexity_x_toward,0.5265723527699464
practice_x_needs,0.5264224605303527
touch_x_unpleasant,0.5261003373763576
small_x_touch,0.5257812483189116
large_x_arousal,0.5252169736448475
small_x_near,0.5249200184279401
duration_x_needs,0.524775125738044
touch_x_arousal,0.524633822580274
pattern_x_arousal,0.5245235643409181
temperature_x_near,0.5244691456569696
fast_x_texture,0.5242105048342145
touch_x_time,0.5236666201560067
lowerlimb_x_benefit,0.5231540329330941
body_x_scene,0.52283209365553
loud_x_benefit,0.522808821772682
temperature_x_texture,0.5226923908516697
head_x_pleasant,0.5225396409913973
pattern_x_cognition,0.5220419113832159
pattern_x_happy,0.5217701847925217
slow_x_happy,0.5217181676663931
bright_x_pattern,0.5215892445358578
vision_x_smell,0.5209031089529331
color_x_caused,0.5208425185006489
pattern_x_consequential,0.5197341283641406
near_sq,0.5194114346464694
fast_x_happy,0.5193090816892105
small_x_toward,0.5192872217154698
drive_sq,0.518872400753211
large_x_happy,0.5186632501386559
social_x_benefit,0.5186300201535917
scene_x_happy,0.5182382312515185
lowerlimb_x_near,0.518181945362934
fast_x_shape,0.518014177383174
near_x_disgusted,0.5171140284290242
lowerlimb_x_attention,0.5166983120867674
vision_x_path,0.5165808519749172
pattern_x_social,0.5165764635299308
pattern_x_path,0.5153363942274057
biomotion_x_human,0.5152170186321794
pattern_x_small,0.5151456753919177
biomotion_x_happy,0.5150595019387145
shape_x_short,0.5143837445767746
head_x_happy,0.5143212472177024
vision_x_small,0.514246574381425
away_x_surprised,0.514020699816707
pattern_x_scene,0.5133704639609639
texture_x_surprised,0.5129578401602388
shape_x_smell,0.5124269286588765
vision_x_scene,0.5121736863727128
upperlimb_x_time,0.5114693720065092
pain_x_human,0.5112251324290907
long_x_arousal,0.5106052690962406
large_x_touch,0.5098360781671298
lowerlimb_x_pleasant,0.5097667506470092
pattern_x_fast,0.5096437769676477
bright_x_scene,0.5095917106164198
temperature_x_happy,0.5095255462235824
weight,0.5086742498801159
weight_x_short,0.5085337944698187
face_x_away,0.5079613594609207
motion_x_surprised,0.5074491972104892
motion_x_caused,0.5073688310798857
small_x_surprised,0.50702713115843
bright_x_color,0.5068536580330361
upperlimb_x_needs,0.5064802879719349
sound_x_near,0.5064427280622329
color_x_large,0.5064386351066228
caused_x_benefit,0.5063318758212612
vision_x_sound,0.5051570709776791
bright_x_toward,0.505093205763678
shape_x_surprised,0.5049234117080506
loud_x_near,0.5046625277818884
shape_x_needs,0.5045155188873514
landmark_x_benefit,0.5044850658914248
dark_x_self,0.5043171716583874
pain_x_lowerlimb,0.5031561815885915
loud,0.5029530481568053
large_x_human,0.5028061303158102
motion_x_social,0.5023175493398782
audition_x_drive,0.5020547406002902
slow_x_sad,0.5014148226740918
pleasant,0.5010741779714265
upperlimb_x_surprised,0.5010618629713622
large_x_social,0.5003474731048053
scene_sq,0.4996143300207109
large_x_motion,0.49945903213776205
motion_x_loud,0.49934852573845906
audition_x_attention,0.4985340698135589
duration_x_communication,0.4981473956753564
toward_x_attention,0.49789751090254303
body_x_surprised,0.4975797850901856
short_x_angry,0.4974075085060728
touch_x_surprised,0.4972807906558587
vision_x_temperature,0.4971534105720046
fast_x_complexity,0.4971203141685414
large_x_consequential,0.4970827482887522
smell_x_benefit,0.4968272780894676
motion_x_landmark,0.49614018133038174
vision_x_loud,0.49607865967548886
audition_sq,0.49584726379031624
benefit_x_disgusted,0.49576007744032713
shape_x_sound,0.4956317175804616
pattern_x_pleasant,0.495372044019358
small_x_practice,0.4952574152145399
landmark_x_arousal,0.49492654582413115
small_x_away,0.4945381474918336
dark_x_benefit,0.4942528365455585
surprised,0.49351765473266146
vision_x_away,0.4934766798372703
landmark_x_caused,0.49334265119041937
motion_x_slow,0.49293498500194743
head_x_drive,0.4926436158030629
shape_x_away,0.4923935134774792
color_x_sound,0.4922199696621564
texture_x_needs,0.4921319077225333
pattern_x_loud,0.4918842452061471
long_x_happy,0.4918832058221989
audition_x_near,0.49153054976307026
color_x_arousal,0.4913462725365657
color_x_short,0.4910415215728907
slow_x_scene,0.4903861559644566
touch_x_long,0.49023578332593226
high_x_self,0.490220370809457
long_x_attention,0.489283370471759
time_x_benefit,0.4883260749971459
texture_x_cognition,0.48823311525672813
long_x_pleasant,0.4878261861574909
small_x_complexity,0.4869962876990274
weight_x_needs,0.4868559265339197
shape_x_head,0.486781901320889
head_x_upperlimb,0.4867260921252658
color_x_small,0.48668103592331774
vision_x_head,0.48646152196658465
color_x_motion,0.48633421156373174
slow_x_surprised,0.4858803859419263
touch_x_texture,0.4858790241737695
fast_x_arousal,0.4857856759451445
color_x_toward,0.4854800257906091
duration_x_arousal,0.48500996226397186
pattern_x_large,0.4847021659981745
happy,0.48466385521507366
head_sq,0.484383516951864
slow_x_attention,0.4836119853394618
shape_x_audition,0.4830261440784711
unpleasant_x_happy,0.48296072140514784
temperature_x_pleasant,0.482401225185505
sound_x_attention,0.48191910071949645
short_x_surprised,0.48171267267418016
weight_x_away,0.48167204017903126
small_x_needs,0.48156547190515286
near_x_needs,0.4814084697548716
sound_x_toward,0.48113655828548485
smell_x_upperlimb,0.4810275651886586
small_x_shape,0.4808431923623326
fast_x_toward,0.4806539337753653
loud_x_long,0.4802991410250598
dark_x_shape,0.4801622398937017
color_x_path,0.4797786035597194
smell_x_near,0.47946127031222224
sound_x_arousal,0.47941081547689735
audition_x_sound,0.4792288880997668
texture_x_time,0.4791029250533087
touch_x_away,0.47871737943191217
temperature_x_sad,0.47856890744228303
temperature_x_drive,0.47807398322853395
landmark_x_near,0.4779282550901599
slow_x_texture,0.4776835261993012
consequential_x_surprised,0.4775489403147111
motion_x_long,0.4770057175922187
loud_x_sound,0.4766310293539446
near_x_harm,0.476346340876203
lowerlimb_x_happy,0.4761151992513455
dark_x_upperlimb,0.47610320580601717
complexity_x_caused,0.4760589457430055
motion_x_head,0.475987039581249
pleasant_x_drive,0.47522804236989236
complexity_x_body,0.47512376421944796
biomotion_sq,0.4751168869892022
landmark_x_duration,0.47490183582885287
caused_x_consequential,0.4742229393700076
sound_sq,0.4738746022007719
head_x_long,0.4734653715062152
shape_x_loud,0.4732638492814166
pain_x_path,0.4731122435849826
bright_x_small,0.47268952549591847
large,0.4725926537091821
pattern_x_touch,0.4725469756077838
audition_x_loud,0.4723800388202684
audition_x_toward,0.47230320715951407
fast_x_attention,0.47188217991439674
slow_sq,0.4716915434128165
slow_x_touch,0.4715608927914791
vision_x_human,0.47122738034065614
speech_x_path,0.4712013412498822
