feature,anova_f,anova_pvalue,mutual_information,max_abs_class_mean_contrast,rank_anova,rank_mi,rank_class_contrast,combined_rank
fast_x_surprised,3.7631681720853285,0.023987188925608357,0.04262231612805012,0.3857466968754105,1229.0,1159.0,1197.0,1195.0
face_x_time,4.372232386197088,0.013195753624498556,0.04236760044127519,0.3580859638255705,1111.0,1168.0,1306.0,1195.0
near_x_number,2.679168042356878,0.06977919372513532,0.06800774916548247,0.31641963379858135,1477.0,637.0,1478.0,1197.3333333333333
scene_x_number,5.064754322951592,0.00670206553135252,0.041935376532802104,0.3310524072251651,993.0,1181.0,1420.0,1198.0
number_x_attention,4.557525295212526,0.011005721457707274,0.04257018619117159,0.34662388819382906,1076.0,1161.0,1357.0,1198.0
slow_x_sound,2.751133773247544,0.06499290227242187,0.05306145626135628,0.3765468678360795,1451.0,916.0,1228.0,1198.3333333333333
happy_x_attention,4.288116514276338,0.014329654514236586,0.034573565072691714,0.4080744849120306,1126.0,1376.0,1093.0,1198.3333333333333
complexity_x_temperature,4.049891058902496,0.018101102213913665,0.051138590273954065,0.31974447790759336,1172.0,960.0,1463.0,1198.3333333333333
human_x_disgusted,2.646407046942454,0.07207386073803031,0.07298913831335252,0.3032939350084105,1487.0,570.0,1540.0,1199.0
body_x_head,1.6907803011971518,0.18561338811157724,0.0967489566555777,0.2884877333687822,1709.0,298.0,1593.0,1200.0
fast_x_weight,3.829981578916441,0.02246321847358345,0.028252279946363812,0.46368173313240657,1218.0,1530.0,854.0,1200.6666666666667
scene_x_pleasant,5.346496825743207,0.005090673076247116,0.0003322293968011092,0.5407790392167405,957.0,2062.0,589.0,1202.6666666666667
audition_x_low,6.004961963612949,0.002680689571117162,0.028837154780461116,0.37598480381591787,861.0,1518.0,1229.0,1202.6666666666667
smell_x_upperlimb,5.861226624721903,0.003083006505879285,0.008960224630530256,0.4810275651886586,882.0,1945.0,785.0,1204.0
motion_x_face,1.2906164407361167,0.27617709639212296,0.12711701833669942,0.258432442540967,1809.0,117.0,1689.0,1205.0
small_x_sound,4.2942591119134965,0.014243634738129894,0.04322986016477581,0.3492547201603941,1123.0,1147.0,1346.0,1205.3333333333333
weight_x_speech,2.3050973327601576,0.10099495387989313,0.08326679912091794,0.28411602547601317,1570.0,444.0,1605.0,1206.3333333333333
biomotion_x_pain,4.073778027100526,0.01768176509742037,0.04020081438359746,0.37709788792540316,1166.0,1228.0,1227.0,1207.0
sad,2.8809733039849674,0.05717613925442752,0.043513190042270056,0.4128422834721292,1419.0,1138.0,1069.0,1208.6666666666667
dark_x_small,5.468217451703174,0.0045208947027652255,0.032529978332161535,0.3675914889678779,936.0,1425.0,1265.0,1208.6666666666667
sound_x_consequential,3.5056266320675253,0.030899215210248274,0.031164485650600593,0.4533808442681591,1281.0,1458.0,889.0,1209.3333333333333
complexity_x_attention,1.5783941885432882,0.2075130382394321,0.1122610661915695,0.25383175706417455,1738.0,184.0,1706.0,1209.3333333333333
complexity_x_touch,2.691278482990433,0.0689496523799204,0.049467224109890795,0.3963794192048434,1476.0,1008.0,1145.0,1209.6666666666667
fast_x_temperature,2.828438662351989,0.06021821714484604,0.05156556707016824,0.3721601693343576,1436.0,946.0,1248.0,1210.0
temperature_x_near,4.839970895271342,0.008348483375151407,0.008639349156716047,0.5244691456569696,1038.0,1951.0,642.0,1210.3333333333333
weight_x_taste,4.57784067842896,0.010789003022437847,0.04520964542272243,0.3208426996185705,1073.0,1101.0,1458.0,1210.6666666666667
pattern_x_music,2.9875822750924463,0.05146900271985615,0.06674578510576379,0.28955770720215124,1389.0,660.0,1588.0,1212.3333333333333
long_x_attention,4.1423658452634164,0.016531156431051564,0.020512682286286443,0.489283370471759,1153.0,1733.0,756.0,1214.0
smell_x_short,2.222100135013193,0.10963897975925271,0.06642800347875633,0.3407376714151556,1591.0,667.0,1385.0,1214.3333333333333
body_x_speech,1.5584948528320395,0.21165290854863306,0.190218708749734,0.20594761814047768,1742.0,29.0,1872.0,1214.3333333333333
upperlimb_x_angry,5.605470537670189,0.003954848292735756,0.017987455183893664,0.44045691134064563,919.0,1779.0,948.0,1215.3333333333333
color_x_lowerlimb,5.117103688405037,0.006368036679476243,0.02911510106915216,0.39448229712611893,985.0,1512.0,1156.0,1217.6666666666667
weight_x_away,3.948703684059218,0.019991176845555292,0.022760715764105433,0.48167204017903126,1193.0,1680.0,781.0,1218.0
color_x_high,5.2529498934937955,0.00557716571981629,0.03737641889679799,0.3392284889070036,969.0,1296.0,1390.0,1218.3333333333333
dark_x_upperlimb,4.747530528185078,0.009138359814562796,0.017210197113565417,0.47610320580601717,1052.0,1801.0,805.0,1219.3333333333333
vision_x_dark,4.7904583432541425,0.008762623588251143,0.02910802623555986,0.40471124990113183,1045.0,1513.0,1106.0,1221.3333333333333
