model,class_display,feature,coefficient,abs_coefficient
LASSO,Thing,consequential,-0.1518467363097497,0.1518467363097497
LASSO,Thing,weight,0.1465444622114733,0.1465444622114733
LASSO,Thing,long,0.1453001660097216,0.1453001660097216
LASSO,Thing,temperature,0.1360448378713616,0.1360448378713616
LASSO,Thing,caused,-0.0912046450950057,0.0912046450950057
LASSO,Thing,speech,-0.0897739324587263,0.0897739324587263
LASSO,Thing,sad,0.0805379948938965,0.0805379948938965
LASSO,Thing,fast,0.0740340025254022,0.0740340025254022
LASSO,Thing,dark,0.0623898228452035,0.0623898228452035
LASSO,Thing,vision,-0.0600056954433302,0.0600056954433302
LASSO,Thing,pleasant,-0.0534081545944005,0.0534081545944005
LASSO,Thing,small,-0.0526381562443938,0.0526381562443938
LASSO,Thing,large,0.050116784869392,0.050116784869392
LASSO,Thing,cognition,-0.0246339267732696,0.0246339267732696
LASSO,Thing,needs,0.0235253059900861,0.0235253059900861
Elastic Net,Action,human,2.8865005300469107,2.8865005300469107
Elastic Net,Action,practice,2.728173874461579,2.728173874461579
Elastic Net,Action,short,1.5365956700083507,1.5365956700083507
Elastic Net,Action,path,1.2447364225405575,1.2447364225405575
Elastic Net,Action,caused,1.2058699538235005,1.2058699538235005
Elastic Net,Action,vision,-1.1810141153642857,1.1810141153642857
Elastic Net,Action,face,-1.1556390651710589,1.1556390651710589
Elastic Net,Action,pattern,1.0367799688719308,1.0367799688719308
Elastic Net,Action,consequential,0.8751545084992814,0.8751545084992814
Elastic Net,Action,speech,-0.8751239779500702,0.8751239779500702
Elastic Net,Action,biomotion,0.8472933065565545,0.8472933065565545
Elastic Net,Action,arousal,0.8052876124454414,0.8052876124454414
Elastic Net,Action,harm,-0.7825504883294712,0.7825504883294712
Elastic Net,Action,landmark,0.7488704759898743,0.7488704759898743
Elastic Net,Action,number,-0.6667854697914682,0.6667854697914682
Elastic Net,Action,self,0.6111169569022928,0.6111169569022928
Elastic Net,Action,loud,0.531625478778984,0.531625478778984
Elastic Net,Action,fast,0.438015597355011,0.438015597355011
Elastic Net,Action,dark,0.4221732715598434,0.4221732715598434
Elastic Net,Action,away,-0.4102475424532522,0.4102475424532522
Elastic Net,Action,low,-0.3987798931655144,0.3987798931655144
Elastic Net,Action,long,0.3967226990147701,0.3967226990147701
Elastic Net,Action,time,-0.3924046655238337,0.3924046655238337
Elastic Net,Action,slow,0.3651588528748881,0.3651588528748881
Elastic Net,Action,sound,-0.3595980772710104,0.3595980772710104
Elastic Net,Action,touch,0.3492109154924827,0.3492109154924827
Elastic Net,Action,social,-0.3414604349591333,0.3414604349591333
Elastic Net,Action,toward,-0.333931433250503,0.333931433250503
