feature,anova_f_score,anova_p_value,anova_rank,mutual_information,mi_rank,univariate_logistic_neg_log_loss,univariate_logistic_rank,anova_score_norm,mi_score_norm,logistic_score_norm,combined_screening_score,mean_rank,combined_rank
touch,2.734698868037551,0.06605604428656543,50,0.03410513696027917,49,-0.603786124236879,49,0.0475244624563716,0.07471412739506565,0.07912902296899674,0.06472124053437425,49.333333333333336,53
pleasant,4.376043174675938,0.013146573496952358,41,0.0,62,-0.600273987860841,44,0.07708763274686223,0.0,0.1185002680990403,0.05453510671855295,49.0,54
needs,2.8650672504210575,0.05808053235654963,49,0.012190820887855613,57,-0.6029154779926784,48,0.04987260030490926,0.026706432697410753,0.08888901604211401,0.04840941640935081,51.333333333333336,55
angry,1.1901128689629714,0.3051985813515856,59,0.03539120643766025,48,-0.6084731329105897,59,0.019704060159140713,0.07753151994457702,0.026587393697907045,0.0442117107810685,55.333333333333336,56
harm,0.3055123138152367,0.7369074983011888,63,0.04228053232766227,42,-0.6103058769930326,63,0.0037710248141948795,0.09262396695076319,0.006042230069638205,0.03976644271991087,56.0,57
taste,1.9867190105967998,0.13841632174138682,52,0.012547684647580715,56,-0.6054857485848457,52,0.03405217890809741,0.027488214176190223,0.06007613900659438,0.03663138503503393,53.333333333333336,58
long,1.8540877229309285,0.15786012883037379,53,0.0077219068563501025,60,-0.6065859753963125,54,0.03166328260690407,0.01691638222330276,0.04774253493915466,0.028980372919913667,55.666666666666664,59
attention,2.1689455892564227,0.11556162554368947,51,0.0,62,-0.6057898843657802,53,0.037334363733413777,0.0,0.05666675989885717,0.02626709747313695,55.333333333333336,60
dark,1.5991685890839398,0.20327788643012795,56,0.003469472327484846,61,-0.6066017997729611,55,0.027071791514058523,0.007600573420105563,0.047565142792223014,0.023381974532110238,57.333333333333336,61
fearful,0.09614538705630948,0.9083516976341752,65,0.019337051707359887,55,-0.6108448778793362,65,0.0,0.042361681361705116,0.0,0.016944672544682047,61.666666666666664,62
unpleasant,1.4657725644239716,0.23206438535071014,57,0.0,62,-0.607925392229303,57,0.024669121107156525,0.0,0.03272759735792641,0.016413167914447892,58.666666666666664,63
disgusted,0.6584322496222799,0.518189499656116,61,0.010464750253363242,59,-0.6096988251970138,61,0.010127663161782778,0.02292512956326585,0.012847314641738949,0.01579058001836724,60.333333333333336,64
pain,1.4202944920372957,0.24278740449420155,58,0.0,62,-0.6080968191407065,58,0.023849990110075138,0.0,0.030805892097048586,0.015701174463439774,59.333333333333336,65
